date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:15	94329/94329	U-----	200	untouched ('OK')	text/html	etag:%2223f653a4-17079-50356d79cc6c0%22	http://www.phil-splitter.com/	B:/Phil%20Splitter/Phil%20Splitter/www.phil-splitter.com/index.html	(from )
13:50:15	49/49	U-----	200	untouched ('OK')	text/plain	etag:%2223f653a5-31-4fad79df78680%22	http://www.phil-splitter.com/robots.txt		(from )
13:50:15	158379/158379	U-----	200	untouched ('OK')	text/html	etag:%22209d7cf5-26aab-502514c1b0900%22	http://www.abcphil.de/	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/index.html	(from )
13:50:16	86942/86942	U-----	200	untouched ('OK')	text/html	etag:%2225ae1537-1539e-5028e40e64e40%22	http://hegel.abcphil.de/	B:/Phil%20Splitter/Phil%20Splitter/hegel.abcphil.de/index.html	(from )
13:50:16	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Feb%202020%2012:50:09%20GMT	http://www.phil-splitter.com/Suche_NRp3.gif	B:/Phil%20Splitter/Phil%20Splitter/www.phil-splitter.com/Suche_NRp3.0.delayed	(from http://www.phil-splitter.com/)
13:50:16	61553/61553	U-----	200	untouched ('OK')	text/html	etag:%2225e3e8a8-f071-503ac2768ef80%22	http://hegel.religion.phil-splitter.com/	B:/Phil%20Splitter/Phil%20Splitter/hegel.religion.phil-splitter.com/index.html	(from )
13:50:16	272/272	---M--	302	error ('Found')	text/html	date:Wed,%2012%20Feb%202020%2012:50:10%20GMT	http://www.google.com/cse?cx=016708020603244987463:owo3bzdpfd4&q=logos	B:/Phil%20Splitter/Phil%20Splitter/www.google.com/cse.12eba.delayed	(from http://www.phil-splitter.com/)
13:50:17	88748/88748	U-----	200	untouched ('OK')	text/html	etag:%22252e8896-15aac-503cb4a755080%22	http://abcphil.phil-splitter.com/	B:/Phil%20Splitter/Phil%20Splitter/abcphil.phil-splitter.com/index.html	(from )
13:50:17	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Feb%202020%2012:50:10%20GMT	http://www.abcphil.de/html/husserl.html	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/husserl.3.delayed	(from http://www.phil-splitter.com/)
13:50:17	89646/89646	U-----	200	untouched ('OK')	text/html	etag:%222497d682-15e2e-504307a660180%22	http://texte.phil-splitter.com/	B:/Phil%20Splitter/Phil%20Splitter/texte.phil-splitter.com/index.html	(from )
13:50:17	132645/132645	U-----	200	untouched ('OK')	text/html	etag:%22225cda61-20625-5044ba8a50a80%22	http://www.herok.info/	B:/Phil%20Splitter/Phil%20Splitter/www.herok.info/index.html	(from )
13:50:17	221/221	---M--	302	error ('Found')	text/html	date:Wed,%2012%20Feb%202020%2012:50:11%20GMT	http://info.flagcounter.com/pcCy	B:/Phil%20Splitter/Phil%20Splitter/info.flagcounter.com/pcCy.4.delayed	(from http://www.phil-splitter.com/)
13:50:18	1596/1596	U-----	200	untouched ('OK')	text/css	etag:%2223c47b04-63c-4fad79e06c8c0%22	http://www.phil-splitter.com/html/fusion.css	B:/Phil%20Splitter/Phil%20Splitter/www.phil-splitter.com/html/fusion.css	(from http://www.phil-splitter.com/)
13:50:18	42/42	U-----	200	untouched ('OK')	text/plain	etag:%22209d7cf6-2a-4f9acf458e400%22	http://www.abcphil.de/robots.txt		(from )
13:50:18	24423/24423	U-----	200	untouched ('')	application/javascript	etag:%222613de2e-5f67-4f88f39686f80%22	http://www.phil-splitter.com/assets/rollover.js	B:/Phil%20Splitter/Phil%20Splitter/www.phil-splitter.com/assets/rollover.js	(from http://www.phil-splitter.com/)
13:50:18	22623/22623	U-----	200	untouched ('OK')	text/css	etag:%2223717ceb-585f-4fad79e254d40%22	http://www.phil-splitter.com/html/style.css	B:/Phil%20Splitter/Phil%20Splitter/www.phil-splitter.com/html/style.css	(from http://www.phil-splitter.com/)
