date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:50	94329/94329	U-----	200	untouched ('OK')	text/html	etag:%2223f653a4-17079-50356d79cc6c0%22	http://www.phil-splitter.com/	B:/Phil%20Splitter/Phil%20Splitter/www.phil-splitter.com/index.html	(from )
19:12:50	49/49	U-----	200	untouched ('OK')	text/plain	etag:%2223f653a5-31-4fad79df78680%22	http://www.phil-splitter.com/robots.txt		(from )
19:12:51	61553/61553	U-----	200	untouched ('OK')	text/html	etag:%2225e3e8a8-f071-503ac2768ef80%22	http://hegel.religion.phil-splitter.com/	B:/Phil%20Splitter/Phil%20Splitter/hegel.religion.phil-splitter.com/index.html	(from )
19:12:51	86942/86942	U-----	200	untouched ('OK')	text/html	etag:%2225ae1537-1539e-5028e40e64e40%22	http://hegel.abcphil.de/	B:/Phil%20Splitter/Phil%20Splitter/hegel.abcphil.de/index.html	(from )
19:12:51	219/219	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202018%2018:12:45%20GMT	http://www.phil-splitter.com/Wissenschaft_NRp3.gif	B:/Phil%20Splitter/Phil%20Splitter/www.phil-splitter.com/Wissenschaft_NRp3.gif	(from http://www.phil-splitter.com/)
19:12:52	88748/88748	U-----	200	untouched ('OK')	text/html	etag:%22252e8896-15aac-503cb4a755080%22	http://abcphil.phil-splitter.com/	B:/Phil%20Splitter/Phil%20Splitter/abcphil.phil-splitter.com/index.html	(from )
19:12:52	89646/89646	U-----	200	untouched ('OK')	text/html	etag:%222497d682-15e2e-504307a660180%22	http://texte.phil-splitter.com/	B:/Phil%20Splitter/Phil%20Splitter/texte.phil-splitter.com/index.html	(from )
19:12:53	212/212	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202018%2018:12:46%20GMT	http://www.phil-splitter.com/Suche_NRp3.gif	B:/Phil%20Splitter/Phil%20Splitter/www.phil-splitter.com/Suche_NRp3.1.delayed	(from http://www.phil-splitter.com/)
19:12:53	132645/132645	U-----	200	untouched ('OK')	text/html	etag:%22225cda61-20625-5044ba8a50a80%22	http://www.herok.info/	B:/Phil%20Splitter/Phil%20Splitter/www.herok.info/index.html	(from )
19:12:54	24423/24423	U-----	200	untouched ('')	application/javascript	etag:%222613de2e-5f67-4f88f39686f80%22	http://www.phil-splitter.com/assets/rollover.js	B:/Phil%20Splitter/Phil%20Splitter/www.phil-splitter.com/assets/rollover.js	(from http://www.phil-splitter.com/)
19:12:54	1596/1596	U-----	200	untouched ('OK')	text/css	etag:%2223c47b04-63c-4fad79e06c8c0%22	http://www.phil-splitter.com/html/fusion.css	B:/Phil%20Splitter/Phil%20Splitter/www.phil-splitter.com/html/fusion.css	(from http://www.phil-splitter.com/)
19:12:54	70/70	U-----	200	untouched ('OK')	text/css	etag:%2223717cea-46-4fad79e160b00%22	http://www.phil-splitter.com/html/site.css	B:/Phil%20Splitter/Phil%20Splitter/www.phil-splitter.com/html/site.css	(from http://www.phil-splitter.com/)
19:12:54	22623/22623	U-----	200	untouched ('OK')	text/css	etag:%2223717ceb-585f-4fad79e254d40%22	http://www.phil-splitter.com/html/style.css	B:/Phil%20Splitter/Phil%20Splitter/www.phil-splitter.com/html/style.css	(from http://www.phil-splitter.com/)
19:12:54	43/43	U-----	200	untouched ('')	image/gif	etag:%2225f88eb1-2b-4fad79eaea180%22	http://www.phil-splitter.com/assets/images/autogen/clearpixel.gif	B:/Phil%20Splitter/Phil%20Splitter/www.phil-splitter.com/assets/images/autogen/clearpixel.gif	(from http://www.phil-splitter.com/)
